problem_idx,generation_accuracy,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tp,selection_tn,selection_fp,selection_fn,insufficient_data
58,0.906,1,1.0,1.0,1.0,1,0,0,0,False
59,0.976,0,0.0,0.0,0.0,0,0,1,1,False
60,0.882,1,1.0,1.0,1.0,1,0,0,0,False
61,0.996,0,0.0,0.0,0.0,0,0,1,1,False
62,0.94,1,1.0,1.0,1.0,1,0,0,0,False
63,0.856,1,1.0,1.0,1.0,1,0,0,0,False
64,0.958,0,0.0,0.0,0.0,0,0,1,1,False
65,0.914,0,0.0,0.0,0.0,0,0,1,1,False
66,0.946,1,1.0,1.0,1.0,1,0,0,0,False
67,0.862,1,1.0,1.0,1.0,1,0,0,0,False
68,0.974,1,1.0,1.0,1.0,1,0,0,0,False
69,0.906,1,1.0,1.0,1.0,1,0,0,0,False
70,0.968,0,0.0,0.0,0.0,0,0,1,1,False
71,0.878,1,1.0,1.0,1.0,1,0,0,0,False
72,0.999,0,0.0,0.0,0.0,0,0,1,1,True
73,0.946,0,0.0,0.0,0.0,0,0,1,1,False
74,0.976,1,1.0,1.0,1.0,1,0,0,0,False
75,0.836,1,1.0,1.0,1.0,1,0,0,0,False
76,0.786,0,0.0,0.0,0.0,0,0,1,1,False
77,0.932,1,1.0,1.0,1.0,1,0,0,0,False
78,0.968,1,1.0,1.0,1.0,1,0,0,0,False
79,0.974,1,1.0,1.0,1.0,1,0,0,0,False
80,0.856,1,1.0,1.0,1.0,1,0,0,0,False
81,0.874,1,1.0,1.0,1.0,1,0,0,0,False
82,0.824,0,0.0,0.0,0.0,0,0,1,1,False
83,0.95,1,1.0,1.0,1.0,1,0,0,0,False
84,0.674,0,0.0,0.0,0.0,0,0,1,1,False
85,0.822,1,1.0,1.0,1.0,1,0,0,0,False
86,0.948,1,1.0,1.0,1.0,1,0,0,0,False
87,0.832,1,1.0,1.0,1.0,1,0,0,0,False
88,0.934,0,0.0,0.0,0.0,0,0,1,1,False
89,0.999,0,0.0,0.0,0.0,0,0,1,1,True
90,0.988,1,1.0,1.0,1.0,1,0,0,0,False
91,0.996,1,1.0,1.0,1.0,1,0,0,0,False
92,0.996,1,1.0,1.0,1.0,1,0,0,0,False
93,0.966,1,1.0,1.0,1.0,1,0,0,0,False
94,0.888,1,1.0,1.0,1.0,1,0,0,0,False
95,0.998,1,1.0,1.0,1.0,1,0,0,0,False
96,0.952,1,1.0,1.0,1.0,1,0,0,0,False
97,0.932,1,1.0,1.0,1.0,1,0,0,0,False
98,0.982,1,1.0,1.0,1.0,1,0,0,0,False
99,0.792,1,1.0,1.0,1.0,1,0,0,0,False
